기관명,번호,남은기간,제목,사업명,AI관련여부,품질인증관련여부,관련키워드,공고유형,신청시작일,신청종료일,마감Dday,신청기간,작성자,작성일자,상세링크
KEIT,I22056,종료,2026년도 지식서비스산업기술개발사업(서비스핵심기술개발) 신규지원 대상과제 공고,,N,N,,R&D지원사업,2026-05-29,2026-06-29,마감,2026-05-29 09:00 ~ 2026-06-29 18:10,,2026-06-01,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I22056&ancmYy=2026
KEIT,I22075,종료,2026년도 첨단산업용시스템엔지니어링설계모델링기술개발사업 신규지원 대상과제 공고,IRIS 공고,N,N,,R&D지원사업,2026-05-29,2026-06-29,마감,2026-05-29 09:00 ~ 2026-06-29 18:10,,2026-06-01,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I22075&ancmYy=2026
KEIT,I22076,종료,2026년도 지식서비스산업기술개발사업(서비스산업융합고도화) 신규지원 대상과제 공고,,N,N,,R&D지원사업,2026-05-29,2026-06-29,마감,2026-05-29 09:00 ~ 2026-06-29 18:20,,2026-06-01,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I22076&ancmYy=2026
KEIT,I21895,종료,2026년도 재난안전 중점기술 로드맵 연계형 기술개발사업  신규과제 공모,IRIS 공고,N,N,,기타,2026-05-29,2026-06-26,마감,2026-05-29 09:00 ~ 2026-06-26 18:00,,2026-05-27,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I21895&ancmYy=2026
KEIT,I21796,종료,2026년도 민군융합핵심소재자립화기술개발사업 신규지원 대상과제 공고,IRIS 공고,N,N,,R&D지원사업,2026-06-02,2026-06-26,마감,2026-06-02 09:00 ~ 2026-06-26 18:00,,2026-05-26,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I21796&ancmYy=2026
KEIT,I21938,종료,2026년도 로봇산업기술개발사업 신규지원 대상과제 공고,IRIS 공고,N,N,,R&D지원사업,2026-06-08,2026-06-25,마감,2026-06-08 09:00 ~ 2026-06-25 18:00,,2026-05-27,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I21938&ancmYy=2026
KEIT,I21939,종료,2026년도 K-로봇피지컬AI생태계조성사업 신규지원 대상과제 공고,IRIS 공고,Y,N,AI,R&D지원사업,2026-06-08,2026-06-25,마감,2026-06-08 09:00 ~ 2026-06-25 18:00,,2026-05-27,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I21939&ancmYy=2026
KEIT,I21878,종료,2026년도 첨단소재공정고도화 및 기술역량확보기술개발사업 신규지원 대상과제 공고,IRIS 공고,N,N,,R&D지원사업,2026-05-22,2026-06-22,마감,2026-05-22 09:00 ~ 2026-06-22 18:00,,2026-05-22,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I21878&ancmYy=2026
KEIT,I21655,종료,2026년도 제2차 산업기술R&D연구기획사업 신규지원 대상과제 공고,IRIS 공고,N,N,,R&D지원사업,2026-05-22,2026-06-22,마감,2026-05-22 09:00 ~ 2026-06-22 18:00,,2026-05-22,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I21655&ancmYy=2026
KEIT,I18874,종료,2026년도 소재부품기술개발사업(2차) 신규지원 대상과제 공고,IRIS 공고,N,N,,R&D지원사업,2026-02-11,2026-06-18,마감,2026-02-11 09:00 ~ 2026-06-18 18:00,,2026-02-11,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I18874&ancmYy=2026
KEIT,I20594,종료,2026년도 글로벌기업산업기술연계R&D 사업 신규지원 대상과제 공고,IRIS 공고,N,N,,R&D지원사업,2026-04-06,2026-06-12,마감,2026-04-06 09:00 ~ 2026-06-12 18:00,,2026-04-06,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I20594&ancmYy=2026
KEIT,I21054,종료,2026년도  신산업 대응 차세대 공통핵심뿌리기술개발사업 신규지원 대상과제 공고,IRIS 공고,N,N,,R&D지원사업,2026-04-21,2026-06-02,마감,2026-04-21 09:00 ~ 2026-06-02 18:00,,2026-04-21,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I21054&ancmYy=2026
KEIT,I21435,종료,2026년도 기계장비산업기술개발사업 신규지원 대상과제 공고,,N,N,,R&D지원사업,2026-05-11,2026-05-29,마감,2026-05-11 09:00 ~ 2026-05-29 18:00,,2026-04-30,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I21435&ancmYy=2026
KEIT,I21434,종료,2026년도 산업용무기·유기화합물제형물성예측AI파운데이션모델개발사업 신규지원 대상과제 공고,IRIS 공고,Y,N,AI,R&D지원사업,2026-05-11,2026-05-29,마감,2026-05-11 09:00 ~ 2026-05-29 18:00,,2026-04-30,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I21434&ancmYy=2026
KEIT,I21574,종료,2026년도 뿌리산업 혁신공정장비 개발사업 신규지원 대상과제 공고 (3차),IRIS 공고,N,N,,R&D지원사업,2026-05-12,2026-05-26,마감,2026-05-12 09:00 ~ 2026-05-26 18:00,,2026-05-12,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I21574&ancmYy=2026
KEIT,I21454,종료,2026년도 수요맞춤형산업별배터리소재및셀기술개발 사업 신규 지원대상 연구개발과제 재공고,IRIS 공고,N,N,,R&D지원사업,2026-04-30,2026-05-14,마감,2026-04-30 09:00 ~ 2026-05-14 18:00,,2026-04-30,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I21454&ancmYy=2026
KEIT,I21075,종료,2026년도 제조암묵지기반AI모델개발사업 신규지원 대상과제 공고,IRIS 공고,Y,N,AI,R&D지원사업,2026-04-21,2026-05-11,마감,2026-04-21 09:00 ~ 2026-05-11 18:00,,2026-04-17,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I21075&ancmYy=2026
KEIT,I20915,종료,2026년도 뿌리산업 혁신공정장비 개발사업 신규지원 대상과제 공고 (2차),IRIS 공고,N,N,,R&D지원사업,2026-04-21,2026-05-06,마감,2026-04-21 09:00 ~ 2026-05-06 18:00,,2026-04-21,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I20915&ancmYy=2026
KEIT,I20274,종료,2026년도 광물자원분야 신규지원대상 연구개발과제 공고,IRIS 공고,N,N,,R&D지원사업,2026-03-24,2026-04-23,마감,2026-03-24 09:00 ~ 2026-04-23 18:00,,2026-03-24,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I20274&ancmYy=2026
KEIT,I20222,종료,2026년도 제조AI데이터벨류체인구축사업 신규지원 대상과제 공고,IRIS 공고,Y,N,"AI, 데이터",R&D지원사업,2026-04-06,2026-04-21,마감,2026-04-06 09:00 ~ 2026-04-21 18:00,,2026-03-23,https://srome.keit.re.kr/srome/biz/perform/opnnPrpsl/retrieveTaskAnncmView.do?prgmId=XPG201040000&ancmId=I20222&ancmYy=2026
